date,price
13-9-16,26.25
12-9-16,26.61
09-9-16,26.675
08-9-16,26.655
07-9-16,26.69
06-9-16,26.85
05-9-16,26.75
02-9-16,26.675
01-9-16,26.65
31-8-16,26.24
30-8-16,25.725
29-8-16,25.54
26-8-16,25.48
25-8-16,25.455
24-8-16,25.34
23-8-16,25.34
22-8-16,25.31
19-8-16,25.25
18-8-16,25.195
17-8-16,25.1
16-8-16,24.93
15-8-16,25.05
12-8-16,25.05
11-8-16,24.925
10-8-16,24.805
09-8-16,24.805
08-8-16,24.8275
05-8-16,24.82
04-8-16,24.78
03-8-16,24.81
02-8-16,24.8012
01-8-16,24.815
29-7-16,24.81
28-7-16,24.804
27-7-16,24.805
26-7-16,24.785
25-7-16,24.78
22-7-16,24.765
21-7-16,24.805
20-7-16,24.8
19-7-16,24.82
18-7-16,24.8475
15-7-16,24.835
14-7-16,24.775
13-7-16,24.77
12-7-16,24.835
11-7-16,24.85
08-7-16,24.85
07-7-16,24.81
06-7-16,24.835
05-7-16,24.83
04-7-16,24.82
02-7-16,24.825
01-7-16,24.8225
30-6-16,24.83
29-6-16,24.92
28-6-16,24.8875
27-6-16,24.8875
24-6-16,24.8875
23-6-16,24.84
22-6-16,24.895
21-6-16,24.885
20-6-16,24.895
17-6-16,24.895
16-6-16,24.865
15-6-16,24.905
14-6-16,24.935
13-6-16,24.87
10-6-16,24.995
09-6-16,25.005
08-6-16,24.9537
07-6-16,24.97
06-6-16,24.955
03-6-16,24.95
02-6-16,25
01-6-16,25.075
31-5-16,25.075
30-5-16,25.175
27-5-16,25.15
26-5-16,25.11
25-5-16,25.075
24-5-16,25.13
23-5-16,25.125
20-5-16,25.05
19-5-16,25.225
18-5-16,25.24
17-5-16,25.275
16-5-16,25.375
13-5-16,25.5
12-5-16,25.25
11-5-16,25.34
10-5-16,25.175
09-5-16,25.18
06-5-16,25.18
05-5-16,25.15
04-5-16,25.135
03-5-16,25.125
02-5-16,25.125
01-5-16,25.09
29-4-16,25.125
28-4-16,25.2
27-4-16,25.125
26-4-16,25.2
25-4-16,25.325
24-4-16,25.344
22-4-16,25.34
21-4-16,25.375
20-4-16,25.425
19-4-16,25.425
18-4-16,25.48
15-4-16,25.45
14-4-16,25.6
13-4-16,25.505
12-4-16,25.445
11-4-16,25.525
08-4-16,25.625
07-4-16,25.8
06-4-16,25.9513
05-4-16,26.045
04-4-16,26.15
01-4-16,26.05
31-3-16,26.2
30-3-16,26.25
29-3-16,26.35
28-3-16,26.2
25-3-16,26.05
24-3-16,26.2
23-3-16,26.15
22-3-16,26.15
21-3-16,26.35
18-3-16,26.6
17-3-16,26.45
16-3-16,26.935
15-3-16,26.925
14-3-16,27.075
12-3-16,25.5
11-3-16,25.5
10-3-16,25.55
09-3-16,26
08-3-16,26.25
07-3-16,26.25
04-3-16,26.25
03-3-16,25.9
02-3-16,26.6
01-3-16,27.14
29-2-16,26.9
26-2-16,27.3
25-2-16,27.1
24-2-16,27.35
23-2-16,27.25
22-2-16,27.115
19-2-16,26.965
18-2-16,26.4
17-2-16,26.9
16-2-16,26.8
15-2-16,26.95
12-2-16,26.175
11-2-16,26.01
10-2-16,25.95
09-2-16,25.925
08-2-16,25.97
05-2-16,25.875
04-2-16,25.85
03-2-16,25.75
02-2-16,25.895
01-2-16,25.55
29-1-16,25.65
28-1-16,25.15
27-1-16,24.95
